Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
.,io.spring.initializr.generator.spring.configuration,ApplicationConfigurationProjectGenerationConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.documentation,GettingStartedSection.Link,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: href; description
.,io.spring.initializr.generator.spring.documentation,GettingStartedSection.Link,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectGenerationDefaultContributorsConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizer.GuideType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizer.GuideType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectGenerationConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring,AbstractComplianceTests,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code,CodeComplianceTests,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code,ServletInitializerCustomizer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code,SourceCodeProjectGenerationConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code,SourceCodeProjectGenerationConfiguration.WarPackagingConfiguration,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: description
.,io.spring.initializr.generator.spring.code,SourceCodeProjectGenerationConfiguration.WarPackagingConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code,MainCompilationUnitCustomizer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code,TestSourceCodeCustomizer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code.java,JavaProjectGenerationConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code.java,JavaProjectGenerationDefaultContributorsConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code.java,JavaProjectGenerationDefaultContributorsConfiguration.WarPackagingConfiguration,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,io.spring.initializr.generator.spring.code.java,JavaProjectGenerationDefaultContributorsConfiguration.WarPackagingConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code.kotlin,KotlinMavenBuildCustomizerTests.KotlinOneEightProjectSettings,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,io.spring.initializr.generator.spring.code.kotlin,KotlinMavenBuildCustomizerTests.KotlinOneEightProjectSettings,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code.kotlin,KotlinMavenBuildCustomizerTests.KotlinOneSevenProjectSettings,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,io.spring.initializr.generator.spring.code.kotlin,KotlinMavenBuildCustomizerTests.KotlinOneSevenProjectSettings,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code.kotlin,KotlinProjectGenerationDefaultContributorsConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code.kotlin,KotlinProjectGenerationDefaultContributorsConfiguration.SpringBoot2AndLaterKotlinProjectGenerationConfiguration,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,io.spring.initializr.generator.spring.code.kotlin,KotlinProjectGenerationDefaultContributorsConfiguration.SpringBoot2AndLaterKotlinProjectGenerationConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code.kotlin,KotlinProjectGenerationDefaultContributorsConfiguration.WarPackagingConfiguration,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,io.spring.initializr.generator.spring.code.kotlin,KotlinProjectGenerationDefaultContributorsConfiguration.WarPackagingConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code.kotlin,KotlinProjectGenerationConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code.kotlin,InitializrMetadataKotlinVersionResolver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code.kotlin,KotlinDependenciesConfigurer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code.kotlin,KotlinMavenFullBuildCustomizer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code.groovy,GroovyProjectGenerationConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code.groovy,GroovyMavenBuildCustomizer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code.groovy,GroovyProjectGenerationDefaultContributorsConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code.groovy,GroovyProjectGenerationDefaultContributorsConfiguration.WarPackagingConfiguration,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,io.spring.initializr.generator.spring.code.groovy,GroovyProjectGenerationDefaultContributorsConfiguration.WarPackagingConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code.groovy,GroovyProjectGenerationDefaultContributorsConfiguration.GroovyMavenProjectConfiguration,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,io.spring.initializr.generator.spring.code.groovy,GroovyProjectGenerationDefaultContributorsConfiguration.GroovyMavenProjectConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,io.spring.initializr.generator.spring.code.groovy,GroovyDependenciesConfigurer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
