Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
.,io.spring.initializr.generator.spring.configuration,WebFoldersContributorTests,setup,3,1,1,46,0,,
.,io.spring.initializr.generator.spring.configuration,WebFoldersContributorTests,webFoldersCreatedWithWebDependency,12,1,0,51,1,io.spring.initializr.generator.test.InitializrMetadataTestBuilder,io.spring.initializr.generator.test.InitializrMetadataTestBuilder; io.spring.initializr.metadata.Dependency; io.spring.initializr.generator.buildsystem.Build
.,io.spring.initializr.generator.spring.configuration,WebFoldersContributorTests,webFoldersNotCreatedWithoutWebDependency,11,1,0,67,1,io.spring.initializr.generator.test.InitializrMetadataTestBuilder,io.spring.initializr.generator.test.InitializrMetadataTestBuilder; io.spring.initializr.metadata.Dependency; io.spring.initializr.generator.buildsystem.Build
.,io.spring.initializr.generator.spring.configuration,WebFoldersContributorTests,createBuild,3,1,1,82,0,io.spring.initializr.generator.version.Version,io.spring.initializr.generator.version.Version
.,io.spring.initializr.generator.spring.configuration,WebFoldersContributorTests,contribute,6,1,2,86,0,io.spring.initializr.generator.project.MutableProjectDescription,io.spring.initializr.generator.project.MutableProjectDescription; io.spring.initializr.generator.version.Version; io.spring.initializr.generator.spring.configuration.WebFoldersContributor
.,io.spring.initializr.generator.spring.configuration,ApplicationConfigurationProjectGenerationConfiguration,webFoldersContributor,3,1,3,35,0,,
.,io.spring.initializr.generator.spring.configuration,WebFoldersContributor,WebFoldersContributor,4,1,3,43,0,io.spring.initializr.generator.project.ProjectDescription,io.spring.initializr.generator.project.ProjectDescription
.,io.spring.initializr.generator.spring.configuration,WebFoldersContributor,contribute,6,2,1,48,0,io.spring.initializr.generator.spring.build.BuildMetadataResolver,io.spring.initializr.generator.spring.build.BuildMetadataResolver
.,io.spring.initializr.generator.spring.configuration,WebFoldersContributor,getOrder,3,1,0,56,0,,
.,io.spring.initializr.generator.spring.documentation,GettingStartedSectionTests,gettingStartedEmpty,4,1,0,33,1,io.spring.initializr.generator.spring.documentation.GettingStartedSection,io.spring.initializr.generator.spring.documentation.GettingStartedSection
.,io.spring.initializr.generator.spring.documentation,GettingStartedSectionTests,gettingStartedWithGuideLinkIsNotEmpty,5,1,0,39,1,io.spring.initializr.generator.spring.documentation.GettingStartedSection,io.spring.initializr.generator.spring.documentation.GettingStartedSection
.,io.spring.initializr.generator.spring.documentation,GettingStartedSectionTests,gettingStartedWithReferenceDocLinkIsNotEmpty,5,1,0,46,1,io.spring.initializr.generator.spring.documentation.GettingStartedSection,io.spring.initializr.generator.spring.documentation.GettingStartedSection
.,io.spring.initializr.generator.spring.documentation,GettingStartedSectionTests,gettingStartedWithAdditionalLinkIsNotEmpty,5,1,0,53,1,io.spring.initializr.generator.spring.documentation.GettingStartedSection,io.spring.initializr.generator.spring.documentation.GettingStartedSection
.,io.spring.initializr.generator.spring.documentation,GettingStartedSectionTests,gettingStartedWithSubSectionIsNotEmpty,5,1,0,60,1,io.spring.initializr.generator.spring.documentation.GettingStartedSection,io.spring.initializr.generator.spring.documentation.GettingStartedSection; io.spring.initializr.generator.spring.documentation.PreDefinedSection
.,io.spring.initializr.generator.spring.documentation,GettingStartedSectionTests,newGettingStartedSection,3,1,0,67,0,,
.,io.spring.initializr.generator.spring.documentation,HelpDocumentTests,renderEmptyDocumentDoesNotCallWriter,6,1,0,39,1,io.spring.initializr.generator.spring.documentation.HelpDocument,io.spring.initializr.generator.spring.documentation.HelpDocument
.,io.spring.initializr.generator.spring.documentation,HelpDocumentTests,renderSingleSection,6,1,0,47,1,io.spring.initializr.generator.spring.documentation.HelpDocument,io.spring.initializr.generator.spring.documentation.HelpDocument
.,io.spring.initializr.generator.spring.documentation,HelpDocumentTests,renderWarnings,7,1,0,55,1,io.spring.initializr.generator.spring.documentation.HelpDocument,io.spring.initializr.generator.spring.documentation.HelpDocument
.,io.spring.initializr.generator.spring.documentation,HelpDocumentTests,renderLinks,8,1,0,65,1,io.spring.initializr.generator.spring.documentation.GettingStartedSection,io.spring.initializr.generator.spring.documentation.GettingStartedSection; io.spring.initializr.generator.spring.documentation.HelpDocument
.,io.spring.initializr.generator.spring.documentation,HelpDocumentTests,renderOnlyAdditionalLink,6,1,0,79,1,io.spring.initializr.generator.spring.documentation.GettingStartedSection,io.spring.initializr.generator.spring.documentation.GettingStartedSection; io.spring.initializr.generator.spring.documentation.HelpDocument
.,io.spring.initializr.generator.spring.documentation,HelpDocumentTests,write,10,1,1,88,0,io.spring.initializr.generator.spring.documentation.HelpDocument,io.spring.initializr.generator.spring.documentation.HelpDocument
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectContributorTests,setup,4,1,1,43,0,,
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectContributorTests,helpDocumentEmptyDoesNotCreateFile,8,1,0,49,1,io.spring.initializr.generator.spring.documentation.HelpDocument,io.spring.initializr.generator.spring.documentation.HelpDocument; io.spring.initializr.generator.spring.documentation.HelpDocumentProjectContributor
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectContributorTests,helpDocumentWithLinksToGuide,5,1,0,59,1,io.spring.initializr.generator.spring.documentation.GettingStartedSection,io.spring.initializr.generator.spring.documentation.GettingStartedSection; io.spring.initializr.generator.spring.documentation.HelpDocument
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectContributorTests,helpDocumentWithLinksToReferenceDoc,5,1,0,70,1,io.spring.initializr.generator.spring.documentation.GettingStartedSection,io.spring.initializr.generator.spring.documentation.GettingStartedSection; io.spring.initializr.generator.spring.documentation.HelpDocument
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectContributorTests,helpDocumentWithLinksToOtherLinks,5,1,0,81,1,io.spring.initializr.generator.spring.documentation.GettingStartedSection,io.spring.initializr.generator.spring.documentation.GettingStartedSection; io.spring.initializr.generator.spring.documentation.HelpDocument
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectContributorTests,helpDocumentWithSimpleSection,5,1,0,89,1,io.spring.initializr.generator.spring.documentation.HelpDocument,io.spring.initializr.generator.spring.documentation.HelpDocument
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectContributorTests,helpDocumentWithLinksAndSimpleSection,5,1,0,96,1,io.spring.initializr.generator.spring.documentation.GettingStartedSection,io.spring.initializr.generator.spring.documentation.GettingStartedSection; io.spring.initializr.generator.spring.documentation.HelpDocument; io.spring.initializr.generator.spring.documentation.PreDefinedSection
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectContributorTests,assertHelpDocument,5,1,1,107,0,io.spring.initializr.generator.spring.documentation.HelpDocumentProjectContributor,io.spring.initializr.generator.spring.documentation.HelpDocumentProjectContributor; io.spring.initializr.generator.test.io.AbstractTextAssert
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectGenerationConfigurationTests,setup,3,1,1,48,0,io.spring.initializr.generator.test.InitializrMetadataTestBuilder,io.spring.initializr.generator.test.InitializrMetadataTestBuilder; io.spring.initializr.generator.test.project.AbstractProjectGenerationTester
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectGenerationConfigurationTests,helpDocumentIsNotContributedWithoutLinks,4,1,0,57,1,io.spring.initializr.generator.test.project.ProjectAssetTester,io.spring.initializr.generator.test.project.ProjectAssetTester
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectGenerationConfigurationTests,helpDocumentIsContributedWithLinks,10,1,0,63,1,io.spring.initializr.metadata.Dependency,io.spring.initializr.metadata.Dependency; io.spring.initializr.generator.project.MutableProjectDescription; io.spring.initializr.generator.test.project.ProjectAssetTester; io.spring.initializr.metadata.Link
