Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
.,io.spring.initializr.generator.spring.configuration,WebFoldersContributorTests,webFoldersCreatedWithWebDependency,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.spring.initializr.generator.spring.configuration,WebFoldersContributorTests,webFoldersCreatedWithWebDependency,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: io.spring.initializr.generator.test.InitializrMetadataTestBuilder.withDefaults; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.build; io.spring.initializr.metadata.Dependency.withId; io.spring.initializr.metadata.Dependency.setFacets; io.spring.initializr.generator.buildsystem.Build.dependencies
.,io.spring.initializr.generator.spring.configuration,WebFoldersContributorTests,webFoldersNotCreatedWithoutWebDependency,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.spring.initializr.generator.spring.configuration,WebFoldersContributorTests,webFoldersNotCreatedWithoutWebDependency,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: io.spring.initializr.generator.test.InitializrMetadataTestBuilder.withDefaults; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.build; io.spring.initializr.metadata.Dependency.withId; io.spring.initializr.metadata.Dependency.setFacets; io.spring.initializr.generator.buildsystem.Build.dependencies
.,io.spring.initializr.generator.spring.documentation,HelpDocumentTests,renderEmptyDocumentDoesNotCallWriter,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectContributorTests,helpDocumentEmptyDoesNotCreateFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectContributorTests,helpDocumentEmptyDoesNotCreateFile,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: io.spring.initializr.generator.spring.documentation.HelpDocument.isEmpty; io.spring.initializr.generator.spring.documentation.HelpDocumentProjectContributor.contribute
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectContributorTests,helpDocumentWithLinksToGuide,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectContributorTests,helpDocumentWithLinksToReferenceDoc,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectContributorTests,helpDocumentWithLinksToOtherLinks,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectContributorTests,helpDocumentWithSimpleSection,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectContributorTests,helpDocumentWithLinksAndSimpleSection,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.spring.initializr.generator.spring,ProjectGeneratorIntegrationTests,generatedMavenProjectBuilds,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.spring.initializr.generator.spring,ProjectGeneratorIntegrationTests,generatedGradleProjectBuilds,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.spring.initializr.generator.spring.code,SourceCodeProjectGenerationConfigurationTests,addsACustomizerThatAppliesSpringBootApplicationAnnotationOnMainClass,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.spring.initializr.generator.spring.code,SourceCodeProjectGenerationConfigurationTests,addsACustomizerThatAppliesSpringBootApplicationAnnotationOnMainClass,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: io.spring.initializr.generator.language.AnnotationContainer.values; io.spring.initializr.generator.language.TypeDeclaration.annotations
.,io.spring.initializr.generator.spring.code,SourceCodeProjectGenerationConfigurationTests,addsACustomizerThatAppliesTestAnnotationsOnTestClassWithJunit5,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.spring.initializr.generator.spring.code,SourceCodeProjectGenerationConfigurationTests,addsACustomizerThatAppliesTestAnnotationsOnTestClassWithJunit5,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: io.spring.initializr.generator.language.AnnotationContainer.values; io.spring.initializr.generator.language.TypeDeclaration.annotations
.,io.spring.initializr.generator.spring.code,SourceCodeProjectGenerationConfigurationTests,springBoot20WarServletInitializerContributor,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,io.spring.initializr.generator.spring.code.kotlin,KotlinMavenFullBuildCustomizerTests,buildSourceDirectoriesAreConfigured,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,io.spring.initializr.generator.spring.code.kotlin,KotlinMavenFullBuildCustomizerTests,buildSourceDirectoriesAreConfigured,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: io.spring.initializr.generator.spring.code.kotlin.KotlinMavenFullBuildCustomizer.customize; io.spring.initializr.generator.buildsystem.maven.MavenBuild.getSettings; io.spring.initializr.generator.buildsystem.maven.MavenBuildSettings.getSourceDirectory; io.spring.initializr.generator.buildsystem.maven.MavenBuildSettings.getTestSourceDirectory
.,io.spring.initializr.generator.spring.code.kotlin,KotlinMavenFullBuildCustomizerTests,kotlinMavenPluginIsConfigured,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 27
.,io.spring.initializr.generator.spring.code.kotlin,KotlinMavenFullBuildCustomizerTests,kotlinMavenPluginIsConfigured,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: io.spring.initializr.generator.spring.code.kotlin.KotlinMavenFullBuildCustomizer.customize; io.spring.initializr.generator.buildsystem.maven.MavenBuild.plugins; io.spring.initializr.generator.buildsystem.maven.MavenPluginContainer.values
.,io.spring.initializr.generator.spring.code.kotlin,KotlinJpaMavenBuildCustomizerTests,customizeWhenJpaFacetPresentShouldAddKotlinJpaPlugin,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,io.spring.initializr.generator.spring.code.kotlin,KotlinJpaMavenBuildCustomizerTests,customizeWhenJpaFacetPresentShouldAddKotlinJpaPlugin,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: io.spring.initializr.generator.buildsystem.maven.MavenBuild.plugins; io.spring.initializr.metadata.Dependency.setFacets; io.spring.initializr.metadata.Dependency.withId; io.spring.initializr.generator.buildsystem.maven.MavenPluginContainer.values
.,io.spring.initializr.generator.spring.code.kotlin,KotlinJpaMavenBuildCustomizerTests,customizeWhenJpaFacetPresentShouldCustomizeAllOpen,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,io.spring.initializr.generator.spring.code.kotlin,KotlinJpaMavenBuildCustomizerTests,customizeWhenJpaFacetPresentShouldCustomizeAllOpen,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: io.spring.initializr.generator.buildsystem.maven.MavenBuild.plugins; io.spring.initializr.metadata.Dependency.setFacets; io.spring.initializr.metadata.Dependency.withId; io.spring.initializr.generator.buildsystem.maven.MavenPluginContainer.values
.,io.spring.initializr.generator.spring.code.kotlin,KotlinDependenciesConfigurerTests,configuresDependenciesForGradleBuild,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
.,io.spring.initializr.generator.spring.code.kotlin,KotlinDependenciesConfigurerTests,configuresDependenciesForGradleBuild,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: io.spring.initializr.generator.buildsystem.BuildItemContainer.ids; io.spring.initializr.generator.buildsystem.Dependency.getVersion; io.spring.initializr.generator.spring.code.kotlin.KotlinDependenciesConfigurer.customize; io.spring.initializr.generator.buildsystem.Dependency.getGroupId; io.spring.initializr.generator.buildsystem.Dependency.getScope; io.spring.initializr.generator.buildsystem.Build.dependencies; io.spring.initializr.generator.buildsystem.Dependency.getArtifactId
.,io.spring.initializr.generator.spring.code.kotlin,KotlinDependenciesConfigurerTests,configuresDependenciesForMavenBuild,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
