Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
.,io.spring.initializr.generator.spring.configuration,WebFoldersContributorTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.project.MutableProjectDescription
.,io.spring.initializr.generator.spring.configuration,WebFoldersContributorTests,Law of Demeter violation,The tool detected the smell in this method (webFoldersCreatedWithWebDependency) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.InitializrMetadataTestBuilder.build; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.withDefaults
.,io.spring.initializr.generator.spring.configuration,WebFoldersContributorTests,Law of Demeter violation,The tool detected the smell in this method (webFoldersNotCreatedWithoutWebDependency) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.test.InitializrMetadataTestBuilder.build; io.spring.initializr.generator.test.InitializrMetadataTestBuilder.withDefaults
.,io.spring.initializr.generator.spring.configuration,WebFoldersContributor,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.spring.build.BuildMetadataResolver
.,io.spring.initializr.generator.spring.documentation,HelpDocumentTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.spring.documentation.HelpDocument
.,io.spring.initializr.generator.spring.documentation,HelpDocumentTests,Law of Demeter violation,The tool detected the smell in this method (renderLinks) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.addReferenceDocLink
.,io.spring.initializr.generator.spring.documentation,HelpDocumentTests,Law of Demeter violation,The tool detected the smell in this method (renderLinks) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.addGuideLink
.,io.spring.initializr.generator.spring.documentation,HelpDocumentTests,Law of Demeter violation,The tool detected the smell in this method (renderLinks) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.addGuideLink
.,io.spring.initializr.generator.spring.documentation,HelpDocumentTests,Law of Demeter violation,The tool detected the smell in this method (renderOnlyAdditionalLink) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.addAdditionalLink
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectContributorTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.spring.documentation.HelpDocument
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectContributorTests,Law of Demeter violation,The tool detected the smell in this method (helpDocumentWithLinksToGuide) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.addGuideLink
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectContributorTests,Law of Demeter violation,The tool detected the smell in this method (helpDocumentWithLinksToReferenceDoc) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.addReferenceDocLink
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectContributorTests,Law of Demeter violation,The tool detected the smell in this method (helpDocumentWithLinksToOtherLinks) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.addAdditionalLink
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectContributorTests,Law of Demeter violation,The tool detected the smell in this method (helpDocumentWithLinksAndSimpleSection) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.PreDefinedSection.addSection; io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.addGuideLink
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectGenerationConfigurationTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.test.project.ProjectAssetTester; io.spring.initializr.generator.project.MutableProjectDescription
.,io.spring.initializr.generator.spring.documentation,HelpDocumentProjectGenerationConfigurationTests,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizerTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.spring.initializr.generator.spring.documentation.HelpDocument; io.spring.initializr.generator.project.MutableProjectDescription
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizerTests,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (dependencyWithReferenceDocLinkUseDefaultPlatformVersionIfNoneIsSet) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.isEmpty
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (dependencyWithReferenceDocLinkUseDefaultPlatformVersionIfNoneIsSet) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.referenceDocs
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (dependencyWithReferenceDocLinkUsePlatformVersion) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.isEmpty
.,io.spring.initializr.generator.spring.documentation,RequestedDependenciesHelpDocumentCustomizerTests,Law of Demeter violation,The tool detected the smell in this method (dependencyWithReferenceDocLinkUsePlatformVersion) because the method voilates the law of Demeter. The long chain of method invocations is : io.spring.initializr.generator.spring.documentation.HelpDocument.gettingStarted; io.spring.initializr.generator.spring.documentation.GettingStartedSection.referenceDocs
